Ticker,Price,Open Interest
BTCUSDT,15674.50,127511.234
ETHUSDT,1084.60,1202031.975
BCHUSDT,103.90,459247.898
XRPUSDT,0.3524,255134179.8
EOSUSDT,0.839,27275964.9
LTCUSDT,61.73,1236546.317
TRXUSDT,0.05126,744397871
ETCUSDT,17.630,2428566.79
LINKUSDT,5.864,8581316.21
XLMUSDT,0.08290,166496132
ADAUSDT,0.30070,167335205
XMRUSDT,126.36,92096.068
DASHUSDT,34.98,195085.165
ZECUSDT,37.24,181948.855
XTZUSDT,0.919,9430283.6
BNBUSDT,252.870,480936.92
ATOMUSDT,8.726,3054987.22
ONTUSDT,0.1659,24347810.8
IOTAUSDT,0.2076,17818512.9
BATUSDT,0.2137,13878592.5
VETUSDT,0.017320,350334483
NEOUSDT,6.337,810261.65
QTUMUSDT,1.949,1238901.5
IOSTUSDT,0.007777,370103685
THETAUSDT,0.8089,10270248.8
ALGOUSDT,0.2282,85309910.6
ZILUSDT,0.02042,228312576
KNCUSDT,0.54280,9354240
ZRXUSDT,0.1756,11971688.2
COMPUSDT,36.45,198735.266
OMGUSDT,1.0500,4207828.9
DOGEUSDT,0.073710,1108184624
SXPUSDT,0.2116,22923776.5
KAVAUSDT,0.8461,6115607.8
BANDUSDT,1.5816,6589358.2
RLCUSDT,1.1585,13476547.7
WAVESUSDT,2.0570,4432316.6
MKRUSDT,626.70,9684.619
SNXUSDT,1.587,5601407.4
DOTUSDT,5.007,14569597.1
DEFIUSDT,470.1,2267.367
YFIUSDT,5898.0,1267.815
BALUSDT,4.967,620177
CRVUSDT,0.456,37466096.9
TRBUSDT,10.220,357784.9
RUNEUSDT,1.0700,5559815
SUSHIUSDT,1.1060,10973334
EGLDUSDT,39.680,0
SOLUSDT,11.3260,7248055
ICXUSDT,0.1522,13013930
STORJUSDT,0.3093,21580088
BLZUSDT,0.05504,45286555
UNIUSDT,5.0060,3688845
AVAXUSDT,11.5260,3398799
FTMUSDT,0.166200,73115545
HNTUSDT,2.1410,1858826
ENJUSDT,0.27670,12402020
FLMUSDT,0.0736,35567705
TOMOUSDT,0.2801,6312471
RENUSDT,0.07130,44086055
KSMUSDT,23.600,217441.3
NEARUSDT,1.5170,21731970
AAVEUSDT,53.840,307001.6
FILUSDT,4.114,5825145.4
RSRUSDT,0.003607,1356082877
LRCUSDT,0.22330,22874187
MATICUSDT,0.78100,85870873
OCEANUSDT,0.11683,21677925
CVCUSDT,0.09056,22886395
BELUSDT,0.37770,6233861
CTKUSDT,0.72410,3234819
AXSUSDT,6.16600,2779534
ALPHAUSDT,0.08136,25435107
ZENUSDT,8.514,392376.3
SKLUSDT,0.02400,80669700
GRTUSDT,0.05197,92962623
1INCHUSDT,0.5032,11305794
CHZUSDT,0.16983,309052229
SANDUSDT,0.52060,29636508
ANKRUSDT,0.020230,129015272
LITUSDT,0.634,0
UNFIUSDT,3.837,1620500.8
REEFUSDT,0.002711,2081865878
RVNUSDT,0.01966,222118293
SFPUSDT,0.4672,28464380
XEMUSDT,0.0305,110618610
COTIUSDT,0.06661,0
CHRUSDT,0.1041,31278718
MANAUSDT,0.3636,31434304
ALICEUSDT,1.089,3486218.1
HBARUSDT,0.04497,112341428
ONEUSDT,0.01296,295956200
LINAUSDT,0.00541,431893362
STMXUSDT,0.00477,292938182
DENTUSDT,0.000630,2724132186
CELRUSDT,0.01064,162670544
HOTUSDT,0.001417,2520412512
MTLUSDT,0.6541,3408420
OGNUSDT,0.0923,32449280
NKNUSDT,0.07167,27626937
DGBUSDT,0.00659,0
1000SHIBUSDT,0.008272,2748826960
BAKEUSDT,0.1703,15618882
GTCUSDT,1.487,1919050.5
BTCDOMUSDT,1321.0,4610.338
IOTXUSDT,0.02215,0
AUDIOUSDT,0.1384,18330987
C98USDT,0.2232,0
MASKUSDT,2.3470,7539049
ATAUSDT,0.0965,23234794
DYDXUSDT,1.707,17520250.6
1000XECUSDT,0.02749,70740977
GALAUSDT,0.02422,403306358
CELOUSDT,0.448,8765317.2
ARUSDT,8.743,792715.2
KLAYUSDT,0.1564,74837916.8
ARPAUSDT,0.02505,94024006
CTSIUSDT,0.0972,16364395
LPTUSDT,6.843,223369.3
ENSUSDT,11.715,675444.5
PEOPLEUSDT,0.02069,553925214
ANTUSDT,1.790,1506127.1
ROSEUSDT,0.04309,101622750
DUSKUSDT,0.08137,17833828
FLOWUSDT,1.085,3951570.9
IMXUSDT,0.3889,13086548
API3USDT,1.3370,1361223
GMTUSDT,0.35140,51748107
APEUSDT,2.9110,9077597
BNXUSDT,160.5000,233856.9
WOOUSDT,0.10299,37174716
JASMYUSDT,0.003572,0
DARUSDT,0.1217,11522848.1
GALUSDT,1.23540,3348852
OPUSDT,0.8096000,27530686
INJUSDT,1.467000,2772749.6
STGUSDT,0.4251000,11472075
FOOTBALLUSDT,696.61000,12426.62
SPELLUSDT,0.0005872,1962353131
1000LUNCUSDT,0.1481000,58779166
LUNA2USDT,1.4539000,3951122
LDOUSDT,1.082200,5707362
CVXUSDT,3.510000,602593
ICPUSDT,3.571000,1054631
APTUSDT,3.87420,6498188.1
QNTUSDT,101.550000,47841.7
BLUEBIRDUSDT,6.73600,48550.4
DODOBUSD,0.1086000,13258916
ANCBUSD,0.0489200,45057754
LEVERBUSD,0.0011524,1193354512
AUCTIONBUSD,4.3250000,158369.2
AMBBUSD,0.0126990,319577732
PHBBUSD,0.6803000,18389540
